id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
episode-076,[EPISODE] BTS (방탄소년단) @ 2021 American Music Awards,2022-02-01,2022-02-01,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=CoLspajPTSY,https://img.youtube.com/vi/CoLspajPTSY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1182,,active,11720684,1062961
episode-077,[EPISODE] BTS (방탄소년단) @ UNGA | SDG Moment 2021,2021-10-28,2021-10-28,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=3APNtu6gzLQ,https://img.youtube.com/vi/3APNtu6gzLQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1224,,active,8470343,969565
episode-078,[EPISODE] BTS (방탄소년단) @ 2021 MTV Unplugged,2021-10-18,2021-10-18,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=maW3moLJ4q0,https://img.youtube.com/vi/maW3moLJ4q0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,782,,active,5340981,758912
episode-079,[EPISODE] BTS (방탄소년단) 2021 FESTA Family Portrait Shoot,2021-10-01,2021-10-01,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=tyrn764rWA4,https://img.youtube.com/vi/tyrn764rWA4/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,921,,active,6799245,872813
episode-080,[EPISODE] BTS (방탄소년단) @ 63rd GRAMMY Awards,2021-09-29,2021-09-29,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=41lSi2YSzA0,https://img.youtube.com/vi/41lSi2YSzA0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1158,,active,9219614,1048876
episode-081,[EPISODE] BTS (방탄소년단) 2021 ‘DALMAJUNG’ Shoot,2021-09-22,2021-09-22,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=cBjePGORgCE,https://img.youtube.com/vi/cBjePGORgCE/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,492,,active,6919308,1017922
episode-082,[EPISODE] BTS (방탄소년단) @ 2020 SBS 가요대전,2021-08-29,2021-08-29,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=NaCF3Ip0X0Y,https://img.youtube.com/vi/NaCF3Ip0X0Y/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1356,,active,6709225,900479
episode-083,[EPISODE] BTS (방탄소년단) LOVE MYSELF Give-ticon Shoot,2021-08-22,2021-08-22,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=4rAWCYHjt8I,https://img.youtube.com/vi/4rAWCYHjt8I/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,462,,active,5390957,923460
episode-084,[EPISODE] BTS (방탄소년단) @ 2020 MAMA,2021-08-07,2021-08-07,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=v0asd3sNv28,https://img.youtube.com/vi/v0asd3sNv28/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1081,,active,8635863,1094821
episode-085,[EPISODE] BTS (방탄소년단) 'Permission to Dance' MV Shoot Sketch,2021-07-18,2021-07-18,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=O4-Ta0VQeOA,https://img.youtube.com/vi/O4-Ta0VQeOA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,729,,active,12005648,1414549
episode-086,[EPISODE] BTS (방탄소년단) ‘Butter’ Jacket Shoot Sketch,2021-07-12,2021-07-12,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=6318pLyv12E,https://img.youtube.com/vi/6318pLyv12E/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,669,,active,13308228,1655257
episode-087,[EPISODE] BTS (방탄소년단) @ 2020 MMA,2021-06-26,2021-06-26,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=EAAR25p-A2g,https://img.youtube.com/vi/EAAR25p-A2g/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,962,,active,8526543,1241493
episode-088,[EPISODE] BTS (방탄소년단) 'MAP OF THE SOUL ON:E CONCEPT PHOTO BOOK' Photoshoot Sketch,2021-05-31,2021-05-31,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=N21jbm-EeMY,https://img.youtube.com/vi/N21jbm-EeMY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,979,,active,6897865,1200918
episode-089,[EPISODE] BTS (방탄소년단) 'Butter' MV Shoot Sketch,2021-05-23,2021-05-23,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=mQEGPegvnuM,https://img.youtube.com/vi/mQEGPegvnuM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,656,,active,19836866,2247346
episode-090,[EPISODE] BTS (방탄소년단) LOVE MYSELF Campaign Special Announcement,2021-04-26,2021-04-26,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=awwmSKqoV-w,https://img.youtube.com/vi/awwmSKqoV-w/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,657,,active,5033206,887714
episode-091,[EPISODE] BTS (방탄소년단) on the News and Radio,2021-04-12,2021-04-12,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=kW7xsac4MO4,https://img.youtube.com/vi/kW7xsac4MO4/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,431,,active,5594560,997820
episode-092,[EPISODE] BTS (방탄소년단) @ 200929 The Tonight Show,2021-04-04,2021-04-04,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=JjyZ3Gnim58,https://img.youtube.com/vi/JjyZ3Gnim58/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1010,,active,8614994,1132473
episode-093,[EPISODE] BTS (방탄소년단) @ 2020 MTV VMAs,2021-03-20,2021-03-20,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=uQYLGiuQqpA,https://img.youtube.com/vi/uQYLGiuQqpA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,432,,active,5850133,897249
episode-094,[EPISODE] BTS (방탄소년단) 2020 FESTA Family Portrait Shoot,2020-12-29,2020-12-29,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=cPtUgWQXs-0,https://img.youtube.com/vi/cPtUgWQXs-0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,542,,active,8769034,1149018
episode-095,[EPISODE] BTS (방탄소년단) 'Life Goes On' MV Shoot Sketch,2020-11-29,2020-11-29,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=LQIIV7uQDfs,https://img.youtube.com/vi/LQIIV7uQDfs/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,377,,active,5824694,994073
episode-096,[EPISODE] BTS (방탄소년단) ‘BE’ Jacket Shoot Sketch,2020-11-22,2020-11-22,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=dnnxNw2ZZ5o,https://img.youtube.com/vi/dnnxNw2ZZ5o/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,392,,active,5583687,1195142
episode-097,[EPISODE] BTS (방탄소년단) @ UN General Assembly Speech,2020-11-01,2020-11-01,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=zLrTp2KBcWw,https://img.youtube.com/vi/zLrTp2KBcWw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,653,,active,4787875,801051
episode-098,[EPISODE] BTS (방탄소년단) @ 200225 The Tonight Show,2020-10-26,2020-10-26,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=OKy12jb_7EU,https://img.youtube.com/vi/OKy12jb_7EU/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,646,,active,10686538,1024442
episode-099,[EPISODE] BTS (방탄소년단) @ 62nd GRAMMY Awards,2020-10-21,2020-10-21,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=qiuQ1cGGwOA,https://img.youtube.com/vi/qiuQ1cGGwOA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1583,,active,12934603,1257179
