id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
dance-064,[CHOREOGRAPHY] BTS (방탄소년단) '호르몬전쟁' Dance practice,2014-10-27,2014-10-27,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=JumcC5jFcQc,https://img.youtube.com/vi/JumcC5jFcQc/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,269,,active,19280049,931819
dance-065,[BANGTAN BOMB] 방탄도령단 - 危險 (Appeal ver.),2014-09-05,2014-09-05,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=rvj2O-O6JGQ,https://img.youtube.com/vi/rvj2O-O6JGQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,247,,active,19216714,714267
dance-066,[CHOREOGRAPHY] BTS (방탄소년단) 'Danger' dance practice,2014-08-24,2014-08-24,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=vJwHIpEogEY,https://img.youtube.com/vi/vJwHIpEogEY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,244,,active,47892365,913514
dance-067,[CHOREOGRAPHY] BTS (방탄소년단) 'Beautiful' dance practice,2014-06-05,2014-06-05,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=sm4FFFBgbmg,https://img.youtube.com/vi/sm4FFFBgbmg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,184,,active,17083095,554498
dance-068,[CHOREOGRAPHY] BTS (방탄소년단) '어른아이' dance practice,2014-06-04,2014-06-04,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=qaOMutxg1OE,https://img.youtube.com/vi/qaOMutxg1OE/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,181,,active,3562441,133167
dance-069,[BANGTAN BOMB] 'Just one day' practice (Appeal ver.),2014-04-16,2014-04-16,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=zNJMa43UVs0,https://img.youtube.com/vi/zNJMa43UVs0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,256,,active,35757183,1135885
dance-070,BTS (방탄소년단) '하루만(Just one day)' dance practice,2014-04-13,2014-04-13,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=2DFvc5o5xAY,https://img.youtube.com/vi/2DFvc5o5xAY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,243,,active,6139457,194440
dance-071,[BANGTAN BOMB] when BTS was practicing the showcase,2014-02-26,2014-02-26,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=QKeXCmmpk28,https://img.youtube.com/vi/QKeXCmmpk28/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,230,,active,7630320,283725
dance-072,방탄소년단 '상남자(Boy In Luv)' dance practice,2014-02-16,2014-02-16,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=gqz6Adx63w8,https://img.youtube.com/vi/gqz6Adx63w8/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,231,,active,53089073,1190546
dance-073,방탄소년단 팔도강산(Paldogangsan) Dance practice,2013-10-10,2013-10-10,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=Vi6-zq3YuEg,https://img.youtube.com/vi/Vi6-zq3YuEg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,204,,active,6906650,362440
