id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
mv-167,BTS (방탄소년단) 화양연화 pt.2 Preview,2015-11-25,2015-11-25,,MV,MVs,,https://www.youtube.com/watch?v=ZUg0mRpU-hk,https://img.youtube.com/vi/ZUg0mRpU-hk/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,135,,active,3293431,261454
mv-168,BTS (방탄소년단) LOGO ANIMATION,2017-07-05,2017-07-05,,MV,MVs,,https://www.youtube.com/watch?v=qx27yTK_KXw,https://img.youtube.com/vi/qx27yTK_KXw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,27,,active,6837678,881867
mv-169,BTS (방탄소년단) 'Danger' Official Teaser #2,2014-08-13,2014-08-13,,MV,MVs,,https://www.youtube.com/watch?v=5dziTIhZ15w,https://img.youtube.com/vi/5dziTIhZ15w/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,57,,active,2097548,202328
mv-170,BTS (방탄소년단) 'I NEED U' Official Teaser,2015-04-23,2015-04-23,,MV,MVs,,https://www.youtube.com/watch?v=Jds9ktFqh8s,https://img.youtube.com/vi/Jds9ktFqh8s/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,58,,active,3450912,321459
mv-171,BTS (방탄소년단) 'Make It Right' Official MV (Vertical ver.),2019-10-25,2019-10-25,,MV,MVs,,https://www.youtube.com/watch?v=y3rj2CDHF5c,https://img.youtube.com/vi/y3rj2CDHF5c/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,241,,active,16938666,1751083
mv-172,BTS (방탄소년단) 'Make It Right (feat. Lauv)' Official MV,2019-10-18,2019-10-18,,MV,MVs,,https://www.youtube.com/watch?v=eXBu09fwe3I,https://img.youtube.com/vi/eXBu09fwe3I/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,258,,active,270342095,7525099
mv-173,j-hope 'Chicken Noodle Soup (feat. Becky G)' MV,2019-09-27,2019-09-27,,MV,MVs,,https://www.youtube.com/watch?v=i23NEQEFpgQ,https://img.youtube.com/vi/i23NEQEFpgQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,269,,active,426161331,12205594
mv-174,BTS 'Lights' Official MV,2019-07-02,2019-07-02,,MV,MVs,,https://www.youtube.com/watch?v=eaUpme4jalE,https://img.youtube.com/vi/eaUpme4jalE/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,327,,active,181439206,5348076
mv-175,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV ('ARMY With Luv' ver.),2019-04-26,2019-04-26,,MV,MVs,,https://www.youtube.com/watch?v=62E_xyj_oDA,https://img.youtube.com/vi/62E_xyj_oDA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,244,,active,106942357,5179139
mv-176,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,2019-04-12,2019-04-12,,MV,MVs,,https://www.youtube.com/watch?v=XsX3ATc3FbA,https://img.youtube.com/vi/XsX3ATc3FbA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,253,,active,1945629323,29619140
mv-177,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official Teaser 2,2019-04-10,2019-04-10,,MV,MVs,,https://www.youtube.com/watch?v=1zDd-3J1nTg,https://img.youtube.com/vi/1zDd-3J1nTg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,29,,active,45238561,3726233
